target_id,disease_id,transition_year,outcome
ENSG00000073756,EFO_0003764,2008,False
ENSG00000183873,HP_0012531,1998,True
ENSG00000139842,EFO_1000158,2000,False
ENSG00000127824,EFO_1000566,2014,False
ENSG00000198056,EFO_1000044,2000,True
ENSG00000102001,EFO_1001145,2011,False
ENSG00000151623,EFO_0000401,2012,True
ENSG00000108840,EFO_0002892,2010,False
ENSG00000068078,MONDO_0001056,2010,False
ENSG00000106348,EFO_0004239,1998,True
ENSG00000185386,EFO_0005221,2014,False
ENSG00000113580,EFO_0000373,2006,False
ENSG00000146143,EFO_0005537,2013,True
ENSG00000108691,EFO_0009448,2008,False
ENSG00000121853,MONDO_0004567,2007,True
ENSG00000198400,EFO_0005540,2014,False
ENSG00000112715,MONDO_0002363,2014,False
ENSG00000130816,MONDO_0021063,2010,False
ENSG00000185633,HP_0012115,2003,False
ENSG00000113721,MONDO_0005147,2014,False
ENSG00000149806,MONDO_0010679,2005,True
ENSG00000109390,EFO_0000519,2015,False
ENSG00000163285,MONDO_0001780,2006,False
ENSG00000100985,EFO_0000729,2015,False
ENSG00000183873,MONDO_0002050,2001,True
ENSG00000073756,HP_0004783,2003,False
ENSG00000185313,MONDO_0016107,2011,False
ENSG00000142319,EFO_0004698,2010,False
ENSG00000257365,EFO_1001469,2007,False
ENSG00000134853,EFO_0000503,2014,False
ENSG00000138735,EFO_0003840,2013,False
ENSG00000134853,EFO_0000637,2013,False
ENSG00000178057,EFO_0000519,2015,False
ENSG00000110717,EFO_0003769,2014,False
ENSG00000152086,EFO_0002618,1998,True
ENSG00000105639,EFO_1001467,2002,False
ENSG00000105372,MONDO_0009061,2005,True
ENSG00000088832,EFO_1001020,2010,False
ENSG00000156738,EFO_0010673,2012,False
ENSG00000091136,EFO_0000712,2005,False
ENSG00000198033,MONDO_0005411,2001,False
ENSG00000179097,MONDO_0005090,2002,True
ENSG00000149295,EFO_0000555,2008,False
ENSG00000154229,MONDO_0016586,2005,False
ENSG00000090266,EFO_0000589,2004,True
ENSG00000140675,HP_0001824,2015,False
ENSG00000144285,EFO_0005762,2001,True
ENSG00000121853,EFO_0005687,2005,False
ENSG00000167552,EFO_1001469,2003,True
ENSG00000112715,EFO_0000558,2009,False
ENSG00000257365,EFO_1000453,2003,False
ENSG00000153253,EFO_0009963,2005,True
ENSG00000198056,MONDO_0007254,1997,True
ENSG00000073756,EFO_1001480,2012,False
ENSG00000170214,EFO_1001050,2014,False
ENSG00000139180,MONDO_0005575,2012,True
ENSG00000112541,HP_0001397,2013,False
ENSG00000176014,EFO_1000251,2003,False
ENSG00000080573,EFO_0003899,2011,False
ENSG00000097007,EFO_0006859,2002,False
ENSG00000152086,MONDO_0002715,2001,False
ENSG00000145494,EFO_0000764,2015,False
ENSG00000182580,MONDO_0008315,2008,False
